"","ASV_code","Sample","Count","Relative_Abundance"
"1","ASV1","SCF049-1",487384,0.517725290659075
"2","ASV1","SCF049-2",164477,0.525583015383042
"3","ASV1","SCF049-3",261267,0.550138868124764
"4","ASV1","SCF055-1",4044,0.0171537645811241
"5","ASV1","SCF055-4",4935,0.00752870748797466
"6","ASV1","SCF055-5",15492,0.0368183017285019
"7","ASV2","SCF049-1",2159,0.00229340500002656
"8","ASV2","SCF049-2",3727,0.0119095551252309
"9","ASV2","SCF049-3",10675,0.0224778958583819
"10","ASV2","SCF055-1",115630,0.490477200424178
"11","ASV2","SCF055-4",153071,0.233521131487694
"12","ASV2","SCF055-5",236363,0.561740527462812
"13","ASV3","SCF049-1",246437,0.26177853079738
"14","ASV3","SCF049-2",99836,0.319023972493305
"15","ASV3","SCF049-3",155462,0.327349756059556
"16","ASV3","SCF055-1",2753,0.011677624602333
"17","ASV3","SCF055-4",2505,0.00382156276745218
"18","ASV3","SCF055-5",10271,0.0244100682322129
"19","ASV4","SCF049-1",1267,0.00134587500464736
"20","ASV4","SCF049-2",2625,0.00838813582069521
"21","ASV4","SCF049-3",7384,0.0155481763951561
"22","ASV4","SCF055-1",55027,0.233412513255567
"23","ASV4","SCF055-4",64384,0.098222553780296
"24","ASV4","SCF055-5",125692,0.298719725074803
"25","ASV5","SCF049-1",0,0
"26","ASV5","SCF049-2",0,0
"27","ASV5","SCF049-3",0,0
"28","ASV5","SCF055-1",0,0
"29","ASV5","SCF055-4",90417,0.137937820656577
"30","ASV5","SCF055-5",0,0
"31","ASV6","SCF049-1",0,0
"32","ASV6","SCF049-2",0,0
"33","ASV6","SCF049-3",0,0
"34","ASV6","SCF055-1",0,0
"35","ASV6","SCF055-4",66903,0.102065474583175
"36","ASV6","SCF055-5",0,0
"37","ASV7","SCF049-1",0,0
"38","ASV7","SCF049-2",0,0
"39","ASV7","SCF049-3",0,0
"40","ASV7","SCF055-1",0,0
"41","ASV7","SCF055-4",65014,0.0991836653745055
"42","ASV7","SCF055-5",0,0
"43","ASV8","SCF049-1",0,0
"44","ASV8","SCF049-2",0,0
"45","ASV8","SCF049-3",0,0
"46","ASV8","SCF055-1",0,0
"47","ASV8","SCF055-4",52753,0.0804786030624372
"48","ASV8","SCF055-5",0,0
"49","ASV9","SCF049-1",8702,0.00924372872173742
"50","ASV9","SCF049-2",6250,0.0199717519540362
